	sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop	mellow	unpretenious	sophisticated	intense	contemperory
0	1   STAY (with Justin Bieber)	The Kid LAROI	australian hip hop	2021	2023‑04‑13	81.64251207729468	76.0	49.31506849315068	78.26086956521739	8.695652173913043	48.958333333333336	142.0	4.040404040404041	5.0	87.0	-46.738337815318154	-5.893819260201781	56.518189639094935	87.2284206718766	9.99732152525854
1	2   Cold Heart - PNAU Remix	Elton John	glam rock	2021	2023‑04‑13	55.55555555555556	80.0	78.08219178082192	73.91304347826087	8.695652173913043	96.875	203.0	3.0303030303030303	3.0	86.0	-10.2503278767424	-6.166267160888216	87.44724192490722	61.92054516276523	9.536640037961511
2	3   drivers license	Olivia Rodrigo	pop	2021	2023‑04‑13	69.08212560386474	43.0	45.205479452054796	60.869565217391305	9.782608695652174	13.541666666666666	242.0	77.77777777777777	6.0	86.0	-50.93395539673086	-32.37613534842168	61.07243067963735	92.46378879624115	14.331217738733375
3	4   good 4 u	Olivia Rodrigo	pop	2021	2023‑04‑13	80.19323671497584	66.0	45.205479452054796	78.26086956521739	6.521739130434782	70.83333333333333	178.0	34.343434343434346	15.0	86.0	-30.87620396941422	-10.82981617846121	71.01072668315075	72.88838804964476	8.689707527929688
4	5   Yonaguni	Bad Bunny	reggaeton	2021	2023‑04‑13	86.47342995169082	65.0	56.16438356164384	78.26086956521739	13.043478260869565	44.791666666666664	207.0	28.282828282828284	12.0	85.0	-52.73374754092443	-15.811550022259524	64.7930345744521	98.89694781345317	13.157368240174225
5	6   Beggin'	Måneskin	indie rock italiano	2017	2023‑04‑13	64.2512077294686	80.0	65.75342465753425	78.26086956521739	36.95652173913044	60.416666666666664	212.0	13.131313131313131	5.0	85.0	-47.47969269827519	-26.192774604291877	66.62445780015763	101.0719997774048	13.222960320898085
6	7   Pepas	Farruko	reggaeton	2021	2023‑04‑13	62.31884057971015	77.0	72.6027397260274	82.6086956521739	11.956521739130435	44.791666666666664	287.0	1.0101010101010102	3.0	84.0	-46.66043400051738	-15.087929059805917	68.42740989405671	97.74994171915702	12.711221243104061
7	8   telepatía	Kali Uchis	colombian pop	2020	2023‑04‑13	40.09661835748792	52.0	57.534246575342465	60.869565217391305	19.565217391304348	56.25	160.0	11.11111111111111	5.0	84.0	-23.840844417973653	-17.7318468334326	61.150155515849384	66.68151512143471	9.234626265634308
8	9   Easy On Me	Adele	british soul	2021	2023‑04‑13	68.1159420289855	37.0	50.68493150684932	65.21739130434783	11.956521739130435	12.5	225.0	58.58585858585859	3.0	84.0	-55.33807852196773	-29.572103554905823	58.64891620192395	98.57288038214185	14.534148061917566
9	10  Peaches (feat. Daniel Caesar & Giveon)	Justin Bieber	canadian pop	2021	2023‑04‑13	42.99516908212561	70.0	61.64383561643836	73.91304347826087	43.47826086956522	46.875	198.0	32.323232323232325			-45.92432213739539	-40.39779326168174	64.74984508575933	100.13716039188793	13.191614439511254
10	11  Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)	Tainy	pop reggaeton	2021	2023‑04‑13	81.64251207729468	70.0	56.16438356164384	73.91304347826087	7.608695652173913	13.541666666666666	20.0								
11	12  INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	lgbtq+ hip hop	2021	2023‑04‑13	71.98067632850241	70.0	69.86301369863014	69.56521739130434	3.260869565217391	91.66666666666667	212.0	2.0202020202020203	6.0	83.0	-15.169670198109731	1.6223807461151125	79.99336124797709	61.01987715150312	9.47322089266699
12	13  Enemy (with JID) - from the series Arcane League of Legends	Imagine Dragons	modern rock	2021	2023‑04‑13	36.71497584541063														
13	14  Desesperados	Rauw Alejandro	puerto rican pop	2021	2023‑04‑13	42.99516908212561	69.0	87.67123287671232	86.95652173913044	7.608695652173913	52.083333333333336	225.0	36.36363636363637	8.0	82.0	-33.76647505429518	-29.905995256315386	92.83619699075328	94.95401829492062	14.152435236823266
14	15  Tiago PZK: Bzrp Music Sessions, Vol. 48	Bizarrap	argentine hip hop	2021	2023‑04‑13	46.3768115942029	82.0	58.9041095890411	86.95652173913044	8.695652173913043	77.08333333333333	160.0	4.040404040404041			-20.183228954223594	-12.74918745224731	75.41680654068982	67.84583100209963	6.576582907695177
15	16  LA NOCHE DE ANOCHE	Bad Bunny	reggaeton	2020	2023‑04‑13	39.130434782608695	62.0	86.3013698630137	78.26086956521739	7.608695652173913	39.583333333333336	203.0	3.0303030303030303	29.0	81.0	-37.31627321457577	-19.88634897215153	76.03287490750267	92.21636029743534	13.412916012417204
16	17  Volví	Aventura	bachata	2021	2023‑04‑13	84.54106280193237	86.0	68.4931506849315	82.6086956521739	5.434782608695652	81.25	230.0	42.42424242424242	18.0	80.0	-30.211343632874286	-13.986184432171624	90.21946384632506	82.92621344475126	12.373112076693078
17	18  Volando - Remix	Mora	trap latino	2021	2023‑04‑13	73.91304347826087	69.0	58.9041095890411	78.26086956521739	9.782608695652174	64.58333333333333	273.0	21.21212121212121	7.0	80.0	-35.37174454491309	-12.150318326204271	72.05382893858176	81.89644584619273	10.689176232245025
18	19  Sobrio	Maluma	latin pop	2021	2023‑04‑13	85.5072463768116	77.0	72.6027397260274	86.95652173913044	14.130434782608695	64.58333333333333	201.0	14.141414141414142	22.0	80.0	-47.5654625468503	-13.262349898628939	77.77260093489991	101.44364505688212	13.7496078263276
19	20  Tiroteo - Remix	Marc Seguí	spanish pop	2021	2023‑04‑13	52.65700483091788	52.0	71.23287671232876	69.56521739130434	5.434782608695652	61.458333333333336	322.0	28.282828282828284	3.0	80.0	-23.636450869625374	-16.49565431714404	79.80590599262428	72.82881863603274	11.49920531250564
20	21  DÁKITI	Bad Bunny	reggaeton	2020	2023‑04‑13	52.65700483091788	57.0	68.4931506849315	56.52173913043478	9.782608695652174	13.541666666666666	205.0	40.4040404040404	5.0	80.0	-46.64931025562353	-25.835012385619144	62.17862063156881	92.48915261910349	15.611597474145867
21	22  TE MUDASTE	Bad Bunny	reggaeton	2020	2023‑04‑13	43.96135265700483	64.0	79.45205479452055	78.26086956521739	10.869565217391305	47.916666666666664	130.0	23.232323232323232	6.0	80.0	-34.49598426191637	-24.647966036180748	80.07445509291847	89.50314716552062	13.120622920689927
22	23  Cúrame	Rauw Alejandro	puerto rican pop	2021	2023‑04‑13	48.792270531400966	63.0	73.97260273972603	82.6086956521739	9.782608695652174	26.041666666666668	165.0	58.58585858585859	5.0	79.0	-47.59416680202862	-37.83196598955607	81.85128533699113	104.44428614615481	15.303589611120135
23	24  Nostálgico	Rvssian	reggaeton	2021	2023‑04‑13	46.85990338164251	85.0	68.4931506849315	86.95652173913044	23.91304347826087	61.458333333333336	210.0	17.171717171717173	5.0	79.0	-36.691361199848394	-27.41650667635257	76.05674974882837	91.88007268937137	11.081761066592067
24	25  Hawái	Maluma	latin pop	2020	2023‑04‑13	86.47342995169082	73.0	75.34246575342466	86.95652173913044	4.3478260869565215	57.291666666666664	199.0	19.19191919191919	39.0	79.0	-47.5152733409136	-11.314913766912724	80.49101497404058	100.91574958940208	14.222484110010168
25	26  Eladio Carrion: Bzrp Music Sessions, Vol. 40	Bizarrap	argentine hip hop	2021	2023‑04‑13	56.03864734299517	52.0	75.34246575342466	73.91304347826087	27.17391304347826	86.45833333333333									
26	27  Butter	BTS	k-pop	2021	2023‑04‑13	52.65700483091788	46.0	72.6027397260274	78.26086956521739	6.521739130434782	71.875	165.0	0.0	9.0	79.0	-23.183161273244643	-9.0987711766263	77.48911389054331	72.74351879425585	9.697689183376351
27	28  Miénteme	TINI	latin pop	2021	2023‑04‑13	43.96135265700483	54.0	84.93150684931507	78.26086956521739	29.347826086956523	94.79166666666667	165.0	16.161616161616163	7.0	78.0	-17.887041950174755	-24.897101787680263	91.7921351694431	78.7176954927476	11.96631235674193
28	29  Todo De Ti	Rauw Alejandro	puerto rican pop	2021	2023‑04‑13	61.35265700483092	72.0	75.34246575342466	82.6086956521739	7.608695652173913	34.375	200.0	30.303030303030305	5.0	78.0	-48.87155353415031	-24.158210868361998	76.35816473249469	102.91635345413637	14.652737733198576
29	30  SEJODIOTO	KAROL G	reggaeton	2021	2023‑04‑13	84.54106280193237	74.0	80.82191780821918	82.6086956521739	5.434782608695652	69.79166666666667	181.0	16.161616161616163	15.0	78.0	-39.29730599623392	-8.919684674319129	85.208255876213	93.84167802203092	14.220580770480264
30	31  love nwantiti (feat. Dj Yo! & AX'EL) - Remix	CKay	afro r&b	2021	2023‑04‑13	57.48792270531401	60.0	47.945205479452056	78.26086956521739	3.260869565217391	44.791666666666664	188.0	44.44444444444444	6.0	78.0	-33.95996294090398	-21.59870086360929	69.46651445966513	77.33705165111509	9.305123337303952
31	32  Tacones Rojos	Sebastian Yatra	colombian pop	2021	2023‑04‑13	58.93719806763285	86.0	71.23287671232876	82.6086956521739	13.043478260869565	95.83333333333333	189.0	8.080808080808081	3.0	78.0	-16.62964366716599	-10.73861380331005	86.15351249240469	69.20066207037617	9.004681267709856
32	33  Si No Te Tengo / Ángel / Aquello Que Pasó	Ke Personajes		2021	2023‑04‑13	39.130434782608695	71.0	26.027397260273972	82.6086956521739	23.91304347826087	54.166666666666664	428.0	5.05050505050505	5.0	78.0	-31.733676851901983	-20.65149635124322	46.94735322251701	68.45160208397253	3.4002284609044584
33	34  Medallo	Blessd	reggaeton	2021	2023‑04‑13	42.99516908212561	70.0	76.71232876712328	78.26086956521739	69.56521739130434	81.25	233.0	57.57575757575758	8.0	77.0	-40.982273599605335	-58.379534249583386	86.74668664007555	110.22084829834978	16.31363102435914
34	35  EL MAKINON	KAROL G	reggaeton	2021	2023‑04‑13	42.51207729468599	71.0	56.16438356164384	86.95652173913044	9.782608695652174	44.791666666666664	209.0	26.262626262626263	13.0	77.0	-35.70311512985724	-25.552437154451006	70.32948604568617	84.18482660133196	9.037912816370975
35	36  512	Mora	trap latino	2021	2023‑04‑13	42.028985507246375	67.0	80.82191780821918	65.21739130434783	16.304347826086957	71.875	194.0	35.35353535353536	15.0	77.0	-17.390850133256315	-24.604988802558047	87.52138718934431	72.28980055167517	12.832762369074906
36	37  Una Vaina Loca	Fuego	electro latino	2021	2023‑04‑13	51.207729468599034	59.0	79.45205479452055	86.95652173913044	7.608695652173913	56.25	226.0	13.131313131313131	5.0	76.0	-35.2220492597205	-19.368102180229933	82.26878974377486	90.8821546314846	12.191220197808946
37	38  MONTERO (Call Me By Your Name)	Lil Nas X	lgbtq+ hip hop	2021	2023‑04‑13	85.99033816425121	51.0	52.054794520547944	69.56521739130434	39.130434782608695	78.125	138.0	30.303030303030305	15.0	76.0	-42.26280824925852	-21.352907612455702	65.83453955878018	90.43836556451954	12.515391594624026
38	39  Ley Seca	JhayCo	reggaeton	2021	2023‑04‑13	50.24154589371981	84.0	72.6027397260274	82.6086956521739	11.956521739130435	59.375	263.0	10.1010101010101	10.0	76.0	-32.845985164329406	-18.37561570890561	76.66675991601542	85.37779635244645	11.087840698527867
39	40  Una Locura	Ozuna	puerto rican pop	2020	2023‑04‑13	80.67632850241546	76.0	65.75342465753425	78.26086956521739	23.91304347826087	93.75	231.0	14.141414141414142	4.0	76.0	-29.694888130861926	-11.63150978215749	79.31396153313963	81.24810869264415	11.200562428934974
40	41  Pareja Del Año	Sebastian Yatra	colombian pop	2021	2023‑04‑13	38.16425120772947	62.0	67.12328767123287	78.26086956521739	7.608695652173913	83.33333333333333	195.0	16.161616161616163	5.0	75.0	-9.634659579716159	-15.497527388236145	83.8755181354943	59.45453041432791	7.538099879076651
41	42  AM Remix	Nio Garcia	reggaeton	2021	2023‑04‑13	82.6086956521739	66.0	69.86301369863014	78.26086956521739	6.521739130434782	81.25	261.0	11.11111111111111	16.0	75.0	-29.95546290781548	-4.24622377738072	80.27377407186817	79.17430183310171	11.416265468863743
42	43  Los Tragos	Reik	latin arena pop	2021	2023‑04‑13	44.927536231884055	70.0	45.205479452054796	78.26086956521739	15.217391304347826	69.79166666666667	171.0	12.121212121212121	6.0	75.0	-21.493353727868307	-16.029544439330774	64.56628223870631	63.6199701752486	5.748131440973161
43	44  Hecha Pa' Mi	Boza	panamanian pop	2020	2023‑04‑13	47.82608695652174	76.0	68.4931506849315	78.26086956521739	8.695652173913043	85.41666666666667	186.0	36.36363636363637	6.0	75.0	-12.27403577165339	-19.99447384806974	90.41335932282925	64.6896082624939	9.293127447795406
44	45  Qué Más Pues?	J Balvin	reggaeton	2021	2023‑04‑13	48.792270531400966	82.0	90.41095890410959	82.6086956521739	16.304347826086957	79.16666666666667	218.0	3.0303030303030303	11.0	74.0	-25.495381149192927	-17.579647728024735	89.46216482875208	85.33815071501192	12.678877067277902
45	46  Otra Noche	Los Ángeles Azules	gruperas inmortales	2021	2023‑04‑13	43.96135265700483	71.0	52.054794520547944	82.6086956521739	6.521739130434782	65.625	199.0	35.35353535353536	3.0	74.0	-20.56825401122601	-21.779071424489082	76.98737223335199	67.0350937155955	7.230092956064518
46	47  L-Gante: Bzrp Music Sessions, Vol.38	Bizarrap	argentine hip hop	2021	2023‑04‑13	42.028985507246375	82.0	43.83561643835616	86.95652173913044	7.608695652173913	78.125	192.0	37.37373737373738	26.0		-13.895259925039557	-21.703519147700952	78.3073167650297	59.06643602493066	4.840573130049754
47	48  Bandido	Myke Towers	reggaeton	2020	2023‑04‑13	80.67632850241546	62.0	65.75342465753425	78.26086956521739	8.695652173913043	69.79166666666667	233.0	12.121212121212121	9.0	74.0	-36.060390985495204	-7.2946493298079105	74.38906034736887	84.04112033076446	11.579446377112399
48	49  Baila Conmigo (with Rauw Alejandro)	Selena Gomez	dance pop	2021	2023‑04‑13	71.98067632850241	54.0	80.82191780821918	69.56521739130434	8.695652173913043	67.70833333333333	186.0	2.0202020202020203	7.0	74.0	-32.34616414291816	-5.785544358113599	76.93926158547958	82.91419668694088	13.448100533326118
49	50  911 (Remix)	Sech	panamanian pop	2021	2023‑04‑13	44.44444444444444	71.0	80.82191780821918	82.6086956521739	29.347826086956523	80.20833333333333	209.0	17.171717171717173	4.0	74.0	-27.41105215345834	-27.969832895663004	86.3905132323834	87.61017824161809	12.237132153879475
50	51  Relación - Remix	Sech	panamanian pop	2020	2023‑04‑13	82.6086956521739	77.0	76.71232876712328	86.95652173913044	28.26086956521739	86.45833333333333	247.0	3.0303030303030303	10.0	74.0	-41.718000433158274	-14.409000103777505	80.71155269189813	99.22696929088383	13.371094243507136
51	52  Fiel	Los Legendarios	reggaeton	2021	2023‑04‑13	46.85990338164251	70.0	84.93150684931507	82.6086956521739	9.782608695652174	52.083333333333336	262.0	41.41414141414141	6.0	73.0	-34.243980904939804	-30.2330838913254	90.97658839737458	94.10079276986662	14.502228584234242
52	53  BICHOTA	KAROL G	reggaeton	2021	2023‑04‑13	78.74396135265701	66.0	86.3013698630137	82.6086956521739	9.782608695652174	89.58333333333333	179.0	20.2020202020202	15.0	73.0	-28.16541682458893	-11.168518493451487	95.10709537302748	86.53388335408883	13.812345085759322
53	54  KESI - Remix	Camilo	colombian pop	2021	2023‑04‑13	58.93719806763285	82.0	87.67123287671232	82.6086956521739	7.608695652173913	84.375	177.0	13.131313131313131	5.0	73.0	-22.047656433302645	-13.222543894874894	93.90997828192587	80.10852532171025	12.368522742312948
54	55  Entre Nosotros	Tiago PZK	trap argentino	2021	2023‑04‑13	81.64251207729468	51.0	68.4931506849315	73.91304347826087	13.043478260869565	81.25	192.0	49.494949494949495	5.0	72.0	-28.88317059817951	-18.207089131337195	88.52183538782705	81.5478647403156	13.293621518941649
55	56  Malbec	Duki	argentine hip hop	2021	2023‑04‑13	58.93719806763285	69.0	65.75342465753425	73.91304347826087	11.956521739130435	44.791666666666664	176.0	57.57575757575758	4.0	72.0	-38.32027240842011	-30.352949725064825	79.6558587663412	90.27036934262219	13.799802108337696
56	57  2/Catorce	Rauw Alejandro	puerto rican pop	2021	2023‑04‑13	53.6231884057971	56.0	73.97260273972603	86.95652173913044	10.869565217391305	37.5	206.0	71.71717171717172	9.0	72.0	-44.761272643047505	-40.77329504093947	90.05396430053965	104.3940281312229	15.369753972121455
57	58  Se Te Nota (with Guaynaa)	Lele Pons	latin pop	2020	2023‑04‑13	49.27536231884058	69.0	93.15068493150685	86.95652173913044	27.17391304347826	98.95833333333333	156.0	9.090909090909092	7.0	72.0	-21.378986409659433	-23.03260136354612	97.8145270453192	86.45073614344757	12.779415845470789
58	59  Snow Tha Product: Bzrp Music Sessions, Vol. 39	Bizarrap	argentine hip hop	2021	2023‑04‑13	63.768115942028984	75.0	82.1917808219178	78.26086956521739	8.695652173913043										
59	60  Nathy Peluso: Bzrp Music Sessions, Vol. 36	Bizarrap	argentine hip hop	2020	2023‑04‑13	44.927536231884055	66.0	57.534246575342465	82.6086956521739	5.434782608695652	76.04166666666667	171.0								
60	61  Bar	TINI	latin pop	2021	2023‑04‑13	44.927536231884055	69.0	39.726027397260275	82.6086956521739	33.69565217391305	69.79166666666667	160.0	13.131313131313131	8.0	71.0	-31.177065473074993	-25.73993602643469	59.07389860486943	75.96380458846956	6.204854719018658
61	62  Reloj	Rauw Alejandro	puerto rican pop	2020	2023‑04‑13	84.54106280193237	54.0	80.82191780821918	86.95652173913044	10.869565217391305	62.5	232.0	18.181818181818183	21.0	71.0	-47.48615096768759	-14.378827735364368	83.45924401850549	104.2497533404323	15.116153344041969
62	63  Nicky Jam: Bzrp Music Sessions, Vol. 41	Bizarrap	argentine hip hop	2021	2023‑04‑13	42.99516908212561	85.0	54.794520547945204	86.95652173913044	13.043478260869565	84.375	158.0	9.090909090909092			-15.984687554520788	-15.59995709777946	76.36740243410883	63.630249411927494	5.646850992052745
63	64  Vida de Rico	Camilo	colombian pop	2021	2023‑04‑13	42.028985507246375	50.0	79.45205479452055	82.6086956521739	4.3478260869565215	98.95833333333333	185.0	18.181818181818183	5.0	71.0	-3.9212148284512667	-13.85118024347104	97.63659826375728	59.37411225115959	8.538922766978901
64	65  HASTA ABAJO	Kevin Roldan	reggaeton	2019	2023‑04‑13	81.64251207729468	67.0	65.75342465753425	78.26086956521739	33.69565217391305	65.625	230.0	29.292929292929294	36.0	71.0	-49.700597397440745	-25.0303212665668	72.63960931530914	104.04584145505082	14.635276416638094
65	66  Loco	Justin Quiles	reggaeton	2021	2023‑04‑13	61.35265700483092	90.0	73.97260273972603	86.95652173913044	7.608695652173913	87.5	232.0	22.22222222222222	5.0	71.0	-21.027082919727345	-14.66416021441334	91.38180795447026	75.9361888690358	10.24744391502879
66	67  Morad: Bzrp Music Sessions, Vol. 47	Bizarrap	argentine hip hop	2021	2023‑04‑13	58.45410628019324	86.0	73.97260273972603	78.26086956521739	8.695652173913043	56.25	178.0	47.474747474747474	4.0		-33.22460158463733	-26.07849376733385	86.57350755921334	88.03758324760409	13.560986954115306
